filename	clusters_tot	genes_tot	domains_tot	motifs_tot	cluster_rank	cluster_type	cluster_begin	cluster_end	cluster_size	cluster_genes_count	cluster_domains_count	gene_rank	gene_name	gene_begin	gene_end	gene_size	gene_domains_count	domain_rank	domain_function	domain_subtype	domain_prot_begin	domain_prot_end	domain_prot_size
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	1	13	SCO3227	14510	15844	1335	1	1	Aminotran_1_2	Aminotran_1_2	49	432	384
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	21	16	SCO3230	18508	40899	22392	21	2	Condensation_Starter	Condensation_Starter	4	469	466
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	21	16	SCO3230	18508	40899	22392	21	3	AMP-binding	Khayatt_ref_ser_1	468	972	503
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	21	16	SCO3230	18508	40899	22392	21	4	PCP	NULL	1077	1162	86
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	21	16	SCO3230	18508	40899	22392	21	5	Condensation_LCL	Condensation_LCL	1172	1631	460
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	21	16	SCO3230	18508	40899	22392	21	6	AMP-binding	Khayatt_ref_thr_2	1667	2186	520
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	21	16	SCO3230	18508	40899	22392	21	7	PCP	NULL	2187	2272	86
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	21	16	SCO3230	18508	40899	22392	21	8	Condensation_LCL	Condensation_LCL	2282	2736	455
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	21	16	SCO3230	18508	40899	22392	21	9	AMP-binding	Khayatt_ref_trp_1	2751	3249	499
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	21	16	SCO3230	18508	40899	22392	21	10	PCP	NULL	3252	3336	85
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	21	16	SCO3230	18508	40899	22392	21	11	Epimerization	NULL	3349	3652	304
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	21	16	SCO3230	18508	40899	22392	21	12	Condensation_DCL	Condensation_DCL/Cglyc	3823	4272	450
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	21	16	SCO3230	18508	40899	22392	21	13	AMP-binding	Khayatt_ref_asp_1	4275	4746	472
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	21	16	SCO3230	18508	40899	22392	21	14	PCP	NULL	4749	4834	86
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	21	16	SCO3230	18508	40899	22392	21	15	Condensation_LCL	Condensation_LCL	4844	5298	455
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	21	16	SCO3230	18508	40899	22392	21	16	AMP-binding	Khayatt_ref_asp_1	5315	5786	472
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	21	16	SCO3230	18508	40899	22392	21	17	PCP	NULL	5789	5874	86
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	21	16	SCO3230	18508	40899	22392	21	18	Condensation_LCL	Condensation_LCL	5884	6338	455
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	21	16	SCO3230	18508	40899	22392	21	19	AMP-binding	Khayatt_ref_hpg_hpg2Cl_1	6354	6867	514
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	21	16	SCO3230	18508	40899	22392	21	20	PCP	NULL	6871	6955	85
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	21	16	SCO3230	18508	40899	22392	21	21	Epimerization	NULL	6968	7280	313
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	21	16	SCO3230	18508	40899	22392	21	22	TIGR01720	NULL	7434	7455	22
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	12	17	SCO3231	40896	51908	11013	12	23	NRPS-COM_Nterm	NULL	2	35	34
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	12	17	SCO3231	40896	51908	11013	12	24	Cglyc	Cglyc/Condensation_DCL	11	459	449
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	12	17	SCO3231	40896	51908	11013	12	25	AMP-binding	Khayatt_ref_asp_1	465	935	471
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	12	17	SCO3231	40896	51908	11013	12	26	PCP	NULL	935	1020	85
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	12	17	SCO3231	40896	51908	11013	12	27	Condensation_LCL	Condensation_LCL	1030	1484	455
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	12	17	SCO3231	40896	51908	11013	12	28	AMP-binding	Khayatt_ref_gly_1	1497	1973	477
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	12	17	SCO3231	40896	51908	11013	12	29	PCP	NULL	1984	2069	86
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	12	17	SCO3231	40896	51908	11013	12	30	Condensation_LCL	Condensation_LCL	2079	2533	455
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	12	17	SCO3231	40896	51908	11013	12	31	AMP-binding	Khayatt_ref_asn_1	2561	3063	503
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	12	17	SCO3231	40896	51908	11013	12	32	PCP	NULL	3067	3151	85
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	12	17	SCO3231	40896	51908	11013	12	33	Epimerization	NULL	3176	3483	308
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	12	17	SCO3231	40896	51908	11013	12	34	TIGR01720	NULL	3646	3667	22
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	8	18	SCO3232	51908	59161	7254	8	35	NRPS-COM_Nterm	NULL	1	29	29
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	8	18	SCO3232	51908	59161	7254	8	36	Condensation_DCL	Condensation_DCL/Cglyc	5	453	449
Streptomyces_coelicolor_A3_Cluster10.js	1	36	45	0	1	NRPS	1	79080	79080	36	8	18	SCO3232	51908	59161	7254	8	37	AMP-binding	Khayatt_ref_asn_1	461	964	504
